Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled,Transport (tCO2e/yr),Housing (tCO2e/yr),Food (tCO2e/yr),Goods (tCO2e/yr),Services (tCO2e/yr),Total Household Carbon Footprint (tCO2e/yr),Households,Total County Carbon Footprint (tCO2e/yr)
14785,CO,PROWERS ,9595.804225,57704.52824,0.658994928,23920.17301,15.85156572,16.36937183,8.038048022,4.460626835,4.738378553,49.45799095,6094.0,301396.9969
12428,CO,GRAND ,8620.653727,48094.79941,1.398225176,22669.7393,15.92638142,14.60064494,7.164619408,5.56024323,6.350893684,49.60278268,10878.0,539579.07
7812,CO,LAKE ,7835.235902,59268.86907,2.642559867,25331.22709,17.05609971,14.67524661,7.775794931,4.925605083,5.402417746,49.83516408,3913.0,195004.997
33393,CO,MONTROSE ,8901.967405,48551.97375,2.420769848,25719.84976,17.23815545,15.10713657,7.587690234,4.767009189,5.226750569,49.92674201,14487.0,723288.7115
5922,CO,RIO BLANCO ,9830.85207,56029.47986,0.0,27503.15907,18.42977982,14.06115667,7.508693009,4.913446955,5.42586401,50.33894046,2809.0,141402.0837
5216,CO,CLEAR CREEK ,8841.332463,56245.72543,1.191024791,24786.34202,17.0871058,15.39071341,6.75903566,5.232352265,5.967065466,50.43627261,3186.0,160689.9645
116328,CO,MESA ,9558.160953,58058.9138,1.157858289,24672.79408,16.63434632,16.38917514,7.43751831,4.805006683,5.292131506,50.55817797,48477.0,2450908.793
5404,CO,CROWLEY ,10061.19526,58242.08217,0.0,26497.84049,17.34247808,16.91872373,7.752696151,4.222887408,4.466803788,50.70358916,1504.0,76258.19809
1638,CO,KIOWA ,10075.83575,50322.80384,2.657961215,27477.04762,18.10038759,16.48968405,7.184175824,4.333867225,4.691315368,50.79943006,829.0,42112.72752
19529,CO,ROUTT ,8146.682632,46824.24407,1.516302408,24136.19253,17.01401599,14.15887499,7.34607814,5.898550519,6.78196383,51.19948346,11115.0,569082.2587
5952,CO,LINCOLN ,10144.14481,55253.36701,2.438347833,26587.59929,17.67053902,16.88958765,7.385186492,4.574445953,4.984969742,51.50472885,2310.0,118975.9236
4777,CO,PHILLIPS ,10285.61161,54456.80533,13.36477367,26200.62026,17.4027023,17.20828753,7.460177936,4.531818218,4.925071068,51.52805705,2141.0,110321.5702
8166,CO,KIT CARSON ,9822.403007,57444.35279,2.08509,26850.03515,17.83806342,16.76792646,7.523673769,4.61279561,5.020822986,51.76328224,3503.0,181326.7777
27345,CO,MORGAN ,9131.685179,54504.87288,1.23978986,26814.52529,17.78398403,15.77891275,8.406078991,4.789831033,5.132707928,51.89151473,10504.0,545068.4707
